BG;0.6018;0.6245
DE;0.5434;0.5490
EL;0.6433;0.6712
EN;0.3030;0.3014
ES;0.4136;0.4602
EU;0.8118;0.8135
FA;0.7748;0.7947
FR;0.5882;0.6267
HE;0.3892;0.4097
HI;0.6715;0.6700
HR;0.5468;0.5863
HU;0.9415;0.9209
IT;0.5571;0.5765
LT;0.3220;0.3336
PL;0.7035;0.7047
PT;0.7168;0.7220
RO;0.8878;0.8878
SL;0.5556;0.5719
TR;0.6084;0.6131
avg;0.6212;0.6354
